id,name,slug,category,subcategory,description,flavor,filling,ingredients_status,allergens,allergens_status,tags,image_url,image_license_status,barcode,brand,source,source_url,source_product_id,data_origin,license,notes
OFF-SPNG-0003,Lulu La Barquette Framboise,lulu-la-barquette-framboise-8706,Bông lan,Bông lan trứng,,Raspberry,,real,Trứng; Gluten,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/301/776/003/8706/front_fr.134.400.jpg,cc-by-sa-attribution-required,3017760038706,"Lu, Mondelez",Open Food Facts,https://world.openfoodfacts.org/product/3017760038706,3017760038706,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-SPNG-0004,Malt Loaf,malt-loaf-0917,Bông lan,Bông lan trứng,,,,real,Gluten,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/501/004/300/0917/front_en.31.400.jpg,cc-by-sa-attribution-required,5010043000917,Soreen,Open Food Facts,https://world.openfoodfacts.org/product/5010043000917,5010043000917,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-SPNG-0005,Mon Cake Nature,mon-cake-nature-1945,Bông lan,Bông lan trứng,,Original,,real,Trứng; Gluten; Sữa,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/325/942/000/1945/front_fr.28.400.jpg,cc-by-sa-attribution-required,3259420001945,Ker Cadélac,Open Food Facts,https://world.openfoodfacts.org/product/3259420001945,3259420001945,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-SPNG-0006,Génoises saveur framboise,genoises-saveur-framboise-2439,Bông lan,Bông lan trứng,,Raspberry,,real,Trứng; Gluten; Đậu nành,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/356/007/106/2439/front_fr.83.400.jpg,cc-by-sa-attribution-required,3560071062439,"Carrefour, Carrefour Extra",Open Food Facts,https://world.openfoodfacts.org/product/3560071062439,3560071062439,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-SPNG-0007,Génoises agrumes,genoises-agrumes-9393,Bông lan,Bông lan trứng,,,,real,Trứng; Gluten; Đậu nành,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/356/470/052/9393/front_fr.47.400.jpg,cc-by-sa-attribution-required,3564700529393,"Marque Repère, P'tit Déli",Open Food Facts,https://world.openfoodfacts.org/product/3564700529393,3564700529393,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-SPNG-0008,La Génoise - Goût Framboise Cassis,la-genoise-gout-framboise-cassis-9386,Bông lan,Bông lan trứng,,Raspberry,,real,Trứng; Gluten; Hạt cây; Đậu nành,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/356/470/052/9386/front_fr.97.400.jpg,cc-by-sa-attribution-required,3564700529386,"Marque Repère, Griesson - de Beukelaer, P'tit Déli",Open Food Facts,https://world.openfoodfacts.org/product/3564700529386,3564700529386,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
LC-SYN-0001,Bánh kem dâu tây,banh-kem-dau-tay,Bánh kem,Bánh kem trái cây,,Strawberry,,missing,,missing_unverified,synthetic-placeholder;needs-review,,none,,Leaf Crème,synthetic,,,synthetic,"n/a (internal placeholder, not derived from any external source)","PLACEHOLDER for dev/staging seeding only. No open dataset publishes real whole-cake bakery pricing/recipes; ingredients, allergens and price must be replaced with Leaf Crème's actual recipe/pricing before production use."
LC-SYN-0002,Bánh kem socola,banh-kem-socola,Bánh kem,Bánh kem socola,,Chocolate,,missing,,missing_unverified,synthetic-placeholder;needs-review,,none,,Leaf Crème,synthetic,,,synthetic,"n/a (internal placeholder, not derived from any external source)","PLACEHOLDER for dev/staging seeding only. No open dataset publishes real whole-cake bakery pricing/recipes; ingredients, allergens and price must be replaced with Leaf Crème's actual recipe/pricing before production use."
LC-SYN-0003,Bánh kem vani hoa quả,banh-kem-vani-hoa-qua,Bánh kem,Bánh kem trái cây,,Vanilla,,missing,,missing_unverified,synthetic-placeholder;needs-review,,none,,Leaf Crème,synthetic,,,synthetic,"n/a (internal placeholder, not derived from any external source)","PLACEHOLDER for dev/staging seeding only. No open dataset publishes real whole-cake bakery pricing/recipes; ingredients, allergens and price must be replaced with Leaf Crème's actual recipe/pricing before production use."
LC-SYN-0004,Mousse xoài,mousse-xoai,Mousse,Mousse trái cây,,Mango,,missing,,missing_unverified,synthetic-placeholder;needs-review,,none,,Leaf Crème,synthetic,,,synthetic,"n/a (internal placeholder, not derived from any external source)","PLACEHOLDER for dev/staging seeding only. No open dataset publishes real whole-cake bakery pricing/recipes; ingredients, allergens and price must be replaced with Leaf Crème's actual recipe/pricing before production use."
LC-SYN-0005,Mousse socola đắng,mousse-socola-ang,Mousse,Mousse socola,,Chocolate,,missing,,missing_unverified,synthetic-placeholder;needs-review,,none,,Leaf Crème,synthetic,,,synthetic,"n/a (internal placeholder, not derived from any external source)","PLACEHOLDER for dev/staging seeding only. No open dataset publishes real whole-cake bakery pricing/recipes; ingredients, allergens and price must be replaced with Leaf Crème's actual recipe/pricing before production use."
