sku,product_id,size,weight,weight_unit,servings,price,price_currency,price_data_origin
TIRA-09-M,LC-REC-0009,M - 14cm (3-4 người),550,g,3-4 người,200000,VND,synthetic
TIRA-09-L,LC-REC-0009,L - 18cm (6-8 người),900,g,6-8 người,310000,VND,synthetic
TIRA-10-S,LC-REC-0010,S - 12cm (2-3 người),400,g,2-3 người,170000,VND,synthetic
TIRA-10-M,LC-REC-0010,M - 14cm (3-4 người),550,g,3-4 người,200000,VND,synthetic
TIRA-10-L,LC-REC-0010,L - 18cm (6-8 người),900,g,6-8 người,310000,VND,synthetic
BL-11-S,LC-REC-0011,S - 12cm (2-3 người),400,g,2-3 người,170000,VND,synthetic
BL-11-M,LC-REC-0011,M - 14cm (3-4 người),550,g,3-4 người,200000,VND,synthetic
BL-11-L,LC-REC-0011,L - 18cm (6-8 người),900,g,6-8 người,250000,VND,synthetic
BL-12-S,LC-REC-0012,S - 12cm (2-3 người),400,g,2-3 người,170000,VND,synthetic
BL-12-M,LC-REC-0012,M - 14cm (3-4 người),550,g,3-4 người,200000,VND,synthetic
BL-12-L,LC-REC-0012,L - 18cm (6-8 người),900,g,6-8 người,250000,VND,synthetic
BL-13-S,LC-REC-0013,S - 12cm (2-3 người),400,g,2-3 người,170000,VND,synthetic
BL-13-M,LC-REC-0013,M - 14cm (3-4 người),550,g,3-4 người,200000,VND,synthetic
BL-13-L,LC-REC-0013,L - 18cm (6-8 người),900,g,6-8 người,250000,VND,synthetic
BL-14-S,LC-REC-0014,S - 12cm (2-3 người),400,g,2-3 người,170000,VND,synthetic
BL-14-M,LC-REC-0014,M - 14cm (3-4 người),550,g,3-4 người,200000,VND,synthetic
BL-14-L,LC-REC-0014,L - 18cm (6-8 người),900,g,6-8 người,250000,VND,synthetic
BL-15-S,LC-REC-0015,S - 12cm (2-3 người),400,g,2-3 người,170000,VND,synthetic
BL-15-M,LC-REC-0015,M - 14cm (3-4 người),550,g,3-4 người,200000,VND,synthetic
BL-15-L,LC-REC-0015,L - 18cm (6-8 người),900,g,6-8 người,250000,VND,synthetic
BK-16-S,LC-REC-0016,S - 12cm (2-3 người),400,g,2-3 người,150000,VND,synthetic
BK-16-M,LC-REC-0016,M - 14cm (3-4 người),550,g,3-4 người,250000,VND,synthetic
BK-16-L,LC-REC-0016,L - 18cm (6-8 người),900,g,6-8 người,380000,VND,synthetic
BK-17-S,LC-REC-0017,S - 12cm (2-3 người),400,g,2-3 người,150000,VND,synthetic
BK-17-M,LC-REC-0017,M - 14cm (3-4 người),550,g,3-4 người,250000,VND,synthetic
BK-17-L,LC-REC-0017,L - 18cm (6-8 người),900,g,6-8 người,380000,VND,synthetic
BK-18-S,LC-REC-0018,S - 12cm (2-3 người),400,g,2-3 người,150000,VND,synthetic
BK-18-M,LC-REC-0018,M - 14cm (3-4 người),550,g,3-4 người,250000,VND,synthetic
BK-18-L,LC-REC-0018,L - 18cm (6-8 người),900,g,6-8 người,380000,VND,synthetic
BK-19-S,LC-REC-0019,S - 12cm (2-3 người),400,g,2-3 người,150000,VND,synthetic
BK-19-M,LC-REC-0019,M - 14cm (3-4 người),550,g,3-4 người,250000,VND,synthetic
BK-19-L,LC-REC-0019,L - 18cm (6-8 người),900,g,6-8 người,380000,VND,synthetic
BK-20-S,LC-REC-0020,S - 12cm (2-3 người),400,g,2-3 người,150000,VND,synthetic
BK-20-M,LC-REC-0020,M - 14cm (3-4 người),550,g,3-4 người,250000,VND,synthetic
BK-20-L,LC-REC-0020,L - 18cm (6-8 người),900,g,6-8 người,380000,VND,synthetic
